ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioType, AudioCue, AudioAnswer, Time, MazeLocation, Gender, VideoGame
3, D, Allo,5,1, Down,0, Ego,0, , 4/22/2020 2:58:29 AM, (1 : 1),,
3, D, Allo,5,1, Down,0, Ego,0, , 4/22/2020 2:58:31 AM, (5 : 1),,
3, D, Allo,5,1, Down,0, Ego,23, , 4/22/2020 2:58:32 AM, (13 : 1),,
3, D, Allo,5,1, Right,0, Ego,23, , 4/22/2020 2:58:33 AM, (13 : 3),,
3, D, Allo,5,1, NULL,1, Ego,23, y, 4/22/2020 2:58:40 AM, (13 : 3),,
3, T, Allo,5,1, Down,0, Ego,0, , 4/22/2020 2:59:37 AM, (13 : 10),,
3, T, Allo,5,1, Left,0, Ego,0, , 4/22/2020 2:59:38 AM, (13 : 5),,
3, T, Allo,5,1, Left,0, Ego,0, , 4/22/2020 2:59:39 AM, (13 : 3),,
3, T, Allo,5,2, Down,0, Ego,0, , 4/22/2020 2:59:43 AM, (11 : 9),,
3, T, Allo,5,2, Right,0, Ego,0, , 4/22/2020 2:59:43 AM, (11 : 10),,
3, T, Allo,5,2, Down,0, Ego,0, , 4/22/2020 2:59:44 AM, (13 : 10),,
3, T, Allo,5,2, Left,0, Ego,0, , 4/22/2020 2:59:45 AM, (13 : 5),,
3, T, Allo,5,2, Left,0, Ego,0, , 4/22/2020 2:59:45 AM, (13 : 3),,
3, D, Allo,1,1, Down,0, Ego,0, , 4/22/2020 2:59:49 AM, (1 : 3),,
3, D, Allo,1,1, Left,0, Ego,0, , 4/22/2020 2:59:50 AM, (1 : 1),,
3, D, Allo,1,1, Down,0, Ego,0, , 4/22/2020 2:59:51 AM, (5 : 1),,
3, D, Allo,1,1, Down,0, Ego,54, , 4/22/2020 2:59:52 AM, (11 : 1),,
3, D, Allo,1,1, Right,0, Ego,54, , 4/22/2020 2:59:54 AM, (11 : 7),,
3, D, Allo,1,1, Down,0, Ego,54, , 4/22/2020 2:59:55 AM, (13 : 7),,
3, D, Allo,1,1, NULL,0, Ego,54, y, 4/22/2020 3:00:02 AM, (13 : 7),,
3, T, Allo,1,1, Down,0, Ego,0, , 4/22/2020 3:00:40 AM, (11 : 1),,
3, T, Allo,1,1, Right,0, Ego,0, , 4/22/2020 3:00:41 AM, (11 : 7),,
3, T, Allo,1,1, Down,0, Ego,0, , 4/22/2020 3:00:42 AM, (13 : 7),,
