ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioCue, Time, MazeLocation, Gender, VideoGame
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:22:31 PM, (1 : 13)
0, D, Allo, 1, 1, Left, 0, 0, 3/19/2020 7:22:31 PM, (1 : 11)
0, D, Allo, 1, 1, Left, 0, 0, 3/19/2020 7:22:32 PM, (1 : 9)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:22:33 PM, (5 : 9)
0, D, Allo, 1, 1, Left, 0, 0, 3/19/2020 7:22:33 PM, (5 : 7)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:22:34 PM, (7 : 7)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:22:35 PM, (11 : 7)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:22:35 PM, (13 : 7)
0, D, Allo, 1, 1, Right, 0, 0, 3/19/2020 7:22:36 PM, (13 : 9)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:22:38 PM, (7 : 3)
0, D, Allo, 1, 1, Left, 0, 0, 3/19/2020 7:22:39 PM, (7 : 1)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:22:39 PM, (9 : 1)
0, D, Allo, 1, 1, Right, 0, 0, 3/19/2020 7:22:40 PM, (9 : 5)
0, D, Allo, 1, 1, Up, 0, 0, 3/19/2020 7:22:41 PM, (7 : 5)
0, D, Allo, 1, 1, Right, 0, 0, 3/19/2020 7:22:41 PM, (7 : 7)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:22:42 PM, (11 : 7)
0, D, Allo, 1, 1, Down, 0, 0, 3/19/2020 7:22:42 PM, (13 : 7)
0, D, Allo, 1, 1, Right, 0, 0, 3/19/2020 7:22:43 PM, (13 : 9)
0, D, Allo, 1, 2, Down, 0, 0, 3/19/2020 7:22:45 PM, (9 : 5)
0, D, Allo, 1, 2, Up, 0, 0, 3/19/2020 7:22:45 PM, (7 : 5)
0, D, Allo, 1, 2, Right, 0, 0, 3/19/2020 7:22:46 PM, (7 : 7)
0, D, Allo, 1, 2, Down, 0, 0, 3/19/2020 7:22:47 PM, (11 : 7)
0, D, Allo, 1, 2, Down, 0, 0, 3/19/2020 7:22:47 PM, (13 : 7)
0, D, Allo, 1, 2, Right, 0, 0, 3/19/2020 7:22:48 PM, (13 : 9)
