ParticipantID, DataType, MazeType, MazeNumber, AttemptNumber, Movement, Error, AudioCue, Time, MazeLocation, Gender, VideoGame
1, D, Allo, 2, 1, Down, 0, 0, 3/12/2020 10:32:21 AM, (0 : 1)
1, D, Allo, 2, 1, Down, 0, 0, 3/12/2020 10:32:25 AM, (1 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:32:26 AM, (3 : 1)
1, D, Allo, 1, 1, Down, 0, 0, 3/12/2020 10:32:28 AM, (0 : 13)
1, D, Allo, 1, 1, Left, 0, 0, 3/12/2020 10:32:30 AM, (1 : 13)
1, D, Allo, 1, 1, Left, 0, 0, 3/12/2020 10:32:33 AM, (1 : 11)
1, D, Allo, 1, 1, Down, 0, 0, 3/12/2020 10:32:35 AM, (1 : 9)
1, D, Allo, 1, 1, Up, 0, 0, 3/12/2020 10:32:39 AM, (5 : 9)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:26 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:27 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:27 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:27 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:27 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:27 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:27 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:27 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:27 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:27 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:28 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:28 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:28 AM, (0 : 1)
1, D, Allo, 2, 1, Left, 0, 0, 3/12/2020 10:36:28 AM, (0 : 1)
